time/iterations,train/entropy_coef,time/total_timesteps,train/clip_range,time/fps,train/learning_rate,time/time_elapsed,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/std,train/loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
84,0.016559360000000002,172032,0.2,1528,0.0003,112,830,0.021387112568481824,0.010958962,0.117919921875,0.9732870161533356,-0.018340298137627543,1.4996967315673828,-0.186117485165596,-10.839743533730507,,
85,0.0165184,174080,0.2,1529,0.0003,113,840,0.020991903662797996,0.010498166,0.1138671875,0.9743101391941309,-0.018379739904776215,1.493326187133789,-0.16822928190231323,-10.815044361352921,,
86,0.01647744,176128,0.2,1530,0.0003,115,850,0.023507153202081098,0.012102506,0.14970703125,0.9723315630108118,-0.022284597565885633,1.5007398128509521,-0.19732733070850372,-10.816589051485062,,
87,0.01643648,178176,0.2,1531,0.0003,116,860,0.017971453216159717,0.010244221,0.11474609375,0.9783709179610014,-0.016128573133028113,1.5043792724609375,-0.18066290020942688,-10.831734642386436,,
88,0.01639552,180224,0.2,1533,0.0003,117,870,0.019610458164243026,0.01265519,0.138525390625,0.9757283050566912,-0.020960013149306178,1.512073040008545,-0.19202814996242523,-10.848415711522103,,
89,0.01635456,182272,0.2,1532,0.0003,118,880,0.016920629231026395,0.0108382,0.120947265625,0.9776451885700226,-0.017859238208620808,1.5168516635894775,-0.1859750747680664,-10.865801280736923,,
90,0.0163136,184320,0.2,1533,0.0003,120,890,0.020231390450499022,0.010533195,0.1185546875,0.9760572388768196,-0.01659571835771203,1.5325956344604492,-0.1660132259130478,-10.901841416954994,,
91,0.01627264,186368,0.2,1533,0.0003,121,900,0.019775437662610786,0.010998733,0.118896484375,0.9747628979384899,-0.015957321782479994,1.535391092300415,-0.1816069483757019,-10.93449122607708,,
92,0.016231680000000002,188416,0.2,1534,0.0003,122,910,0.018283455868368038,0.01174511,0.133447265625,0.9784350730478764,-0.020615301106590777,1.534645438194275,-0.17887985706329346,-10.941645449399948,,
93,0.01619072,190464,0.2,1534,0.0003,124,920,0.018547388608567417,0.0094392,0.11298828125,0.9765693359076977,-0.01725375127280131,1.542172908782959,-0.1792813390493393,-10.95485624074936,,
94,0.01614976,192512,0.2,1535,0.0003,125,930,0.017228790861554443,0.009566526,0.11064453125,0.977734737098217,-0.015214150690007954,1.547399878501892,-0.16199378669261932,-10.974603947997092,,
95,0.0161088,194560,0.2,1536,0.0003,126,940,0.01985440841235686,0.010402128,0.119775390625,0.9760211780667305,-0.015805984515463934,1.547057032585144,-0.1734168529510498,-10.984063103795052,,
96,0.01606784,196608,0.2,1537,0.0003,127,950,0.021278454127605075,0.011821724,0.13564453125,0.9765297845005989,-0.016952749973279425,1.5438294410705566,-0.19856509566307068,-10.98318549990654,,
97,0.01602688,198656,0.2,1538,0.0003,129,960,0.019228838544222526,0.011033747,0.11962890625,0.9759228806942701,-0.017497995967278256,1.5487468242645264,-0.1749493032693863,-10.977756842970848,,
,0.01600016,200000,0.2,,0.0003,,970,0.023439167547621764,0.009271901,0.109423828125,0.9693253897130489,-0.015897144831251354,1.5537281036376953,-0.19857977330684662,-10.994949850440026,41.0,-3.428661121428013
98,0.01598592,200704,0.2,1535,0.0003,130,,,,,,,,,,,
99,0.01594496,202752,0.2,1535,0.0003,132,980,0.019735842596855947,0.009570368,0.1046875,0.975164033472538,-0.015545742613903712,1.5536811351776123,-0.17957302927970886,-11.00113554596901,,
100,0.015904,204800,0.2,1534,0.0003,133,990,0.022467025995138102,0.01036253,0.125830078125,0.9729415141046047,-0.01766213065420743,1.5509933233261108,-0.18664947152137756,-10.988939279317856,,
101,0.015863040000000002,206848,0.2,1535,0.0003,134,1000,0.018766205516294578,0.0101072155,0.11025390625,0.9770054239779711,-0.015761143274721688,1.558419108390808,-0.1906949132680893,-11.002216851711273,,
102,0.015822080000000002,208896,0.2,1536,0.0003,135,1010,0.017547954405017663,0.00935732,0.098974609375,0.9770707581192255,-0.015424561908002943,1.5568816661834717,-0.19638711214065552,-11.015078407526016,,
103,0.01578112,210944,0.2,1537,0.0003,137,1020,0.019771586015122012,0.010360301,0.11748046875,0.9744643364101648,-0.01647152575023938,1.568453311920166,-0.19940976798534393,-11.033971500396728,,
104,0.01574016,212992,0.2,1538,0.0003,138,1030,0.02110310422431212,0.0099937115,0.11552734375,0.9754495173692703,-0.01708229680371005,1.5628541707992554,-0.1970302015542984,-11.037728211283683,,
105,0.0156992,215040,0.2,1539,0.0003,139,1040,0.0238709007302532,0.011134243,0.131396484375,0.9714088998734951,-0.016716906244982965,1.5626866817474365,-0.19068704545497894,-11.026401355862617,,
106,0.01565824,217088,0.2,1540,0.0003,140,1050,0.020150330316391775,0.009830549,0.0951171875,0.976498182862997,-0.015706162390415557,1.5840009450912476,-0.20689937472343445,-11.073895171284676,,
107,0.01561728,219136,0.2,1541,0.0003,142,1060,0.01878272462345194,0.011014045,0.122705078125,0.9769268501549959,-0.017514272560947574,1.5934040546417236,-0.19420066475868225,-11.12717019021511,,
108,0.015576320000000001,221184,0.2,1542,0.0003,143,1070,0.019501847875653767,0.010424418,0.103076171875,0.976497845724225,-0.0176302664243849,1.5921928882598877,-0.19392898678779602,-11.142719754576683,,
