train/clip_range,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_coef,train/learning_rate,time/iterations,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/n_updates,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
0.2,1505,67584,44,0.01864832,0.0003,33,0.091455078125,0.009312172,-0.21316540241241455,-0.009353541643940843,-9.56874929368496,0.006441187997552333,320,1.2030459642410278,0.8908125311136246,,
0.2,1505,69632,46,0.01860736,0.0003,34,0.0974609375,0.009009538,-0.18442590534687042,-0.01199424200458452,-9.62947994172573,0.006203744819504209,330,1.206859827041626,0.8402802795171738,,
0.2,1510,71680,47,0.0185664,0.0003,35,0.110009765625,0.009993052,-0.16579191386699677,-0.01210815829836065,-9.67468895316124,0.005341970174777088,340,1.2211865186691284,0.7769784927368164,,
0.2,1514,73728,48,0.01852544,0.0003,36,0.090576171875,0.008972209,-0.17140887677669525,-0.011192950072290842,-9.72831682562828,0.0060603346806601625,350,1.2308332920074463,0.7686048597097397,,
0.2,1517,75776,49,0.01848448,0.0003,37,0.113134765625,0.0099395495,-0.20553205907344818,-0.012386467317992356,-9.754166647791862,0.006279672743403353,360,1.2330089807510376,0.8754821941256523,,
0.2,1521,77824,51,0.01844352,0.0003,38,0.109130859375,0.009681919,-0.21467198431491852,-0.013616231209016404,-9.787007758021355,0.005382433481281623,370,1.2419185638427734,0.8011158406734467,,
0.2,1526,79872,52,0.018402560000000002,0.0003,39,0.078759765625,0.0076044193,-0.19849535822868347,-0.007866667103371583,-9.831946194171906,0.004575811856193468,380,1.2522392272949219,0.7358461320400238,,
0.2,,80000,,0.01840016,0.0003,,0.073876953125,0.008718111,-0.18389680981636047,-0.009270857885712757,-9.8792935192585,0.0036929120560671436,390,1.2612457275390625,0.8725920021533966,826.2,-30.840099407488015
0.2,1404,81920,58,0.0183616,0.0003,40,,,,,,,,,,,
0.2,1411,83968,59,0.01832064,0.0003,41,0.10615234375,0.009542099,-0.20534338057041168,-0.011359416609047912,-9.93594930768013,0.00806393999955617,400,1.2750098705291748,0.9078944772481918,,
0.2,1415,86016,60,0.01827968,0.0003,42,0.0951171875,0.009437749,-0.19016049802303314,-0.01029048910131678,-9.987541198730469,0.006277964344917564,410,1.2830586433410645,0.8028146773576736,,
0.2,1419,88064,62,0.01823872,0.0003,43,0.09619140625,0.009540601,-0.18842297792434692,-0.011654196609742939,-10.032420933246613,0.005367403630225453,420,1.2955524921417236,0.7085893750190735,,
0.2,1425,90112,63,0.01819776,0.0003,44,0.0859375,0.009817462,-0.2355000525712967,-0.01162045622477308,-10.087359428405762,0.003304043790558353,430,1.3060096502304077,0.887903667986393,,
0.2,1430,92160,64,0.0181568,0.0003,45,0.072216796875,0.007759179,-0.1853187531232834,-0.007626729001640342,-10.108358612656593,0.04280574372969568,440,1.3074557781219482,0.7403258979320526,,
0.2,1436,94208,65,0.01811584,0.0003,46,0.0830078125,0.008743865,-0.2055242359638214,-0.011081462565925904,-10.132089668512345,0.009956574071838985,450,1.3151793479919434,0.8474498838186264,,
0.2,1441,96256,66,0.01807488,0.0003,47,0.12021484375,0.011436716,-0.20799751579761505,-0.01553998645831598,-10.185912600159645,0.006639346209703944,460,1.3290183544158936,0.715474396944046,,
0.2,1445,98304,67,0.018033920000000002,0.0003,48,0.134765625,0.011646219,-0.2065066695213318,-0.01542164948186837,-10.252579951286316,0.0057849147793604064,470,1.345289707183838,0.8717694133520126,,
0.2,1450,100352,69,0.017992960000000002,0.0003,49,0.0896484375,0.009154839,-0.1973143219947815,-0.012238914411864244,-10.291874843835831,0.02952600607968634,480,1.3512351512908936,0.7630180418491364,,
0.2,1453,102400,70,0.017952,0.0003,50,0.120751953125,0.01085909,-0.2180439829826355,-0.01379985515086446,-10.301579970121384,0.008043537492631004,490,1.3487625122070312,0.7105466723442078,,
0.2,1456,104448,71,0.01791104,0.0003,51,0.109375,0.01102886,-0.2002629041671753,-0.016344416403444483,-10.3484747081995,0.005264184331463184,500,1.3699922561645508,0.7989591956138611,,
0.2,1460,106496,72,0.01787008,0.0003,52,0.099609375,0.009395548,-0.19385755062103271,-0.012012361467350274,-10.417842125892639,0.004490395828906912,510,1.3817527294158936,0.8867477923631668,,
0.2,1465,108544,74,0.01782912,0.0003,53,0.084716796875,0.0091329925,-0.2003229260444641,-0.009907434368506074,-10.470237621665001,0.008925013334373944,520,1.3936055898666382,0.8365762829780579,,
0.2,1469,110592,75,0.01778816,0.0003,54,0.097119140625,0.009321861,-0.20639970898628235,-0.012393418024294079,-10.517021772265434,0.007889803199213929,530,1.4049882888793945,0.5939527153968811,,
0.2,1471,112640,76,0.0177472,0.0003,55,0.0986328125,0.009336702,-0.19179993867874146,-0.013224049826385453,-10.562786361575126,0.005460033537383424,540,1.41481351852417,0.842024564743042,,
0.2,1473,114688,77,0.01770624,0.0003,56,0.102099609375,0.009220378,-0.22781871259212494,-0.012022860127035528,-10.599413195252419,0.005503035982110304,550,1.4245328903198242,0.8812148198485374,,
0.2,1476,116736,79,0.01766528,0.0003,57,0.067626953125,0.00713249,-0.13237568736076355,-0.006832980744366069,-10.633845973014832,0.12730230165179818,560,1.4327987432479858,0.47922658920288086,,
0.2,1479,118784,80,0.01762432,0.0003,58,0.087109375,0.007693367,-0.21127799153327942,-0.010143332130974158,-10.643821340799331,0.009580222076328937,570,1.4305204153060913,0.630547046661377,,
0.2,,120000,,0.01760016,0.0003,,0.1056640625,0.010332426,-0.2010968029499054,-0.010415702933096327,-10.660930091142655,0.007265579770319164,580,1.4390122890472412,0.8822862058877945,1000.0,-50.62120664315298
0.2,1383,120832,87,0.01758336,0.0003,59,,,,,,,,,,,
0.2,1388,122880,88,0.0175424,0.0003,60,0.092919921875,0.009037223,-0.2011696696281433,-0.012196421812404878,-10.696207335591316,0.018674197235668544,590,1.4459689855575562,0.8502134084701538,,
0.2,1392,124928,89,0.01750144,0.0003,61,0.07626953125,0.009099618,-0.18684625625610352,-0.009454467917385046,-10.736028093099595,0.011049664067104458,600,1.4570249319076538,0.6673364341259003,,
0.2,1396,126976,90,0.01746048,0.0003,62,0.088916015625,0.009640457,-0.2068513035774231,-0.011851498295436613,-10.782009714841843,0.010291801109269727,610,1.4698972702026367,0.61651411652565,,
0.2,1399,129024,92,0.01741952,0.0003,63,0.08994140625,0.008860894,-0.19465140998363495,-0.011380427016410977,-10.789332044124603,0.004687362798722461,620,1.4624643325805664,0.830046221613884,,
0.2,1403,131072,93,0.01737856,0.0003,64,0.11015625,0.011379993,-0.19529801607131958,-0.013742144606658258,-10.796622827649117,0.008819665425107814,630,1.4706186056137085,0.9385824613273144,,
0.2,1407,133120,94,0.0173376,0.0003,65,0.109375,0.011821384,-0.18392148613929749,-0.016370643803384155,-10.801614886522293,0.030310393217951058,640,1.467620611190796,0.6780374050140381,,
